service_display_name,name,quantity,region,service_id,sku,"total_price, USD",notes
Cloud Functions (Cloud Run),Cloud Run Network Internet Data Transfer Out AsiaPacific to AsiaPacific,0.25,,152E-C115-5142,9EA6-AE6D-E34E,0.03,
Cloud Functions (Cloud Run),Services CPU Tier 2  (Request-based billing),4175000.0000000005,global,152E-C115-5142,085C-A237-027A,0.14028,
Cloud Functions (Cloud Run),Services Memory Tier 2 (Request-based billing),6250000.0,global,152E-C115-5142,600C-3782-6708,0.02188,
Cloud Functions (Cloud Run),Requests,50000.0,global,152E-C115-5142,2DA5-55D3-E679,0,
Pub/Sub,Message Delivery Basic,0.045625000000000006,global,A1E8-BE35-7EBC,027D-B6C7-CCA2,0,
Pub/Sub,Message Delivery Basic,0.045625000000000006,global,A1E8-BE35-7EBC,027D-B6C7-CCA2,0,
Pub/Sub,Topics message backlog,0.0105,global,A1E8-BE35-7EBC,F9EB-D3E1-ABDF,0.00264,
MySQL (Cloud SQL),Cloud SQL for MySQL: Zonal - Micro instance in Jakarta,730.0,asia-southeast2,9662-B51E-5089,7FB4-4536-69D4,10.001,
MySQL (Cloud SQL),Cloud SQL for MySQL: Zonal - Standard storage in Jakarta,7300.0,asia-southeast2,9662-B51E-5089,E969-FD43-DE2D,2.05822,
MySQL (Cloud SQL),Cloud SQL: Backups in Jakarta,7300.0,asia-southeast2,9662-B51E-5089,F973-CB31-8161,0.96858,
Cloud Logging (Cloud Operations),Log Storage cost,1.0,global,5490-F7B7-8DF6,143F-A1B0-E0BE,0,
Cloud Logging (Cloud Operations),Log Retention cost,30.0,global,5490-F7B7-8DF6,F4AE-5A52-ACE3,0.00919,
Cloud Monitoring (Cloud Operations),Metric Volume,100.0,global,58CD-E7C3-72CA,A924-09D0-8854,0,
Cloud Storage,Regional Standard Class A Operations,50000.0,global,95FF-2EF5-5EA1,4DBF-185F-A415,0.225,
Cloud Storage,Regional Standard Class B Operations,50000.0,global,95FF-2EF5-5EA1,7870-010B-2763,0,
Cloud Storage,Standard Storage Jakarta,1.0,asia-southeast2,95FF-2EF5-5EA1,DB0A-37C5-4E19,0.02142,
,,,,,,,
,,,,,Total Price:,13.4782,
,,,,,,,
"Prices are in US dollars, effective date is 2026-06-04T12:49:09.138Z",,,,,,,
,,,,,,,
The estimated fees provided by Google Cloud Pricing Calculator are for discussion purposes only and are not binding on either you or Google. Your actual fees may be higher or lower than the estimate.,,,,,,,
,,,,,,,
Url to the estimate:,https://cloud.google.com/calculator?dl=CjhDaVJtTWpSbVpHUTVZaTB4T0RRM0xUUmpNV0V0T0RGaE5pMWhNMkl5WTJVeE4ySTBOV1lRQVE9PRokNkY1MEM1NzItRkExNy00MDUyLUJCRUItQzhCNzE0RDFGRDI5,,,,,,
